frame;a;b;c
234;0;1;1
235;0;1;1
236;0;1;1
237;0;1;1
238;0;1;1
239;0;0;2
240;0;0;2
241;0;0;2
242;0;0;2
243;0;0;2
244;0;0;2
245;0;0;2
246;0;0;2
247;0;0;2
248;0;0;2
249;0;0;2
250;0;0;2
251;0;0;2
252;0;0;2
253;0;0;2
254;0;0;2
255;0;0;1
256;0;0;0
257;0;0;0
258;0;0;0
259;0;0;0
260;0;0;0
261;0;0;0
262;0;0;0
263;0;0;0
264;0;0;0
265;0;0;0
266;0;0;0
267;0;0;0
268;0;0;0
269;0;0;0
270;0;0;0
271;0;0;0
272;0;0;0
273;0;0;0
274;0;0;0
275;0;0;0
276;0;0;0
277;0;0;0
278;0;0;0
279;0;0;0
280;0;0;0
281;0;0;0
282;0;0;0
283;0;0;0
284;0;0;0
285;0;0;0
286;0;0;0
287;0;0;0
288;0;0;0
289;0;0;0
290;0;0;0
291;0;0;0
292;0;0;0
293;0;0;0
294;0;0;0
295;0;0;0
296;0;0;0
297;0;0;0
298;0;0;0
299;0;0;0
300;0;0;0
301;0;0;0
302;0;0;0
303;0;0;0
304;0;0;0
305;0;0;0
306;0;0;0
307;0;0;0
308;0;0;0
309;0;0;0
310;0;0;0
311;0;0;0
312;0;0;0
313;0;0;0
314;0;0;0
315;0;0;0
316;0;0;0
317;0;0;0
318;0;0;0
319;0;0;0
320;0;0;0
321;0;0;0
322;0;0;0
323;0;0;0
324;0;0;0
325;0;0;0
326;0;0;0
327;0;0;0
328;0;0;0
329;0;0;0
330;0;0;0
331;0;0;0
332;0;0;0
333;0;0;0
334;0;0;0
335;0;0;0
336;0;0;0
337;0;0;0
338;0;0;0
339;0;0;0
340;0;0;0
341;0;0;0
342;0;0;0
343;0;0;0
344;0;0;0
345;0;0;0
346;0;0;0
347;0;0;0
348;0;0;0
349;0;0;0
350;0;0;0
351;0;0;0
352;0;0;0
353;0;0;0
354;0;0;0
355;0;0;0
356;0;0;0
357;0;0;0
358;0;0;0
359;0;0;0
360;0;0;0
361;0;0;0
362;0;0;0
363;0;0;0
364;0;0;0
365;0;0;0
366;0;0;0
367;0;0;0
368;0;0;0
369;0;0;0
370;0;0;0
371;0;0;0
372;0;0;0
373;0;0;0
374;0;0;0
375;0;0;1
376;0;0;1
377;0;0;2
378;0;0;2
379;0;0;2
380;0;0;2
381;0;0;2
382;0;0;2
383;0;0;2
384;0;0;2
385;0;0;2
386;0;0;2
387;0;0;2
388;0;0;2
389;0;0;2
390;0;0;2
391;0;0;2
392;0;0;2
393;0;0;2
394;0;0;2
395;0;0;2
396;0;0;2
397;0;0;2
398;0;0;2
399;0;0;2
400;0;0;2
401;0;0;2
402;0;0;2
403;0;0;2
404;0;0;2
405;0;0;2
406;1;0;1
407;1;0;1
408;1;0;1
409;1;0;1
410;1;0;1
411;1;0;1
412;1;0;1
413;0;1;1
414;0;1;1
415;0;1;1
416;0;1;1
417;0;1;1
418;0;1;1
419;0;1;1
420;0;1;1
421;0;1;1
422;0;1;1
423;0;1;1
424;0;1;1
425;0;1;1
426;0;1;1
427;0;1;1
428;0;1;1
429;0;1;1
430;0;1;1
431;0;1;1
432;0;1;1
433;0;0;2
434;0;0;2
435;0;0;2
436;0;0;2
437;0;0;2
438;0;0;2
439;0;0;2
440;0;0;2
441;0;0;2
442;0;0;2
443;0;0;2
444;0;0;2
445;0;1;1
446;0;1;1
447;0;1;1
448;0;1;1
449;0;1;1
450;0;1;1
451;0;1;1
452;0;1;1
453;0;1;1
454;0;1;1
455;0;1;1
456;0;0;2
457;0;0;2
458;0;0;2
459;0;0;2
460;0;0;2
461;0;0;2
462;0;0;2
463;0;0;1
464;0;0;1
465;0;0;1
466;0;0;1
467;0;0;0
468;0;0;0
469;0;0;0
470;0;0;0
471;0;0;0
472;0;0;0
473;0;0;0
474;0;0;0
475;0;0;0
476;0;0;0
477;0;0;0
478;0;0;0
479;0;0;0
480;0;0;0
481;0;0;0
482;0;0;0
483;0;0;0
484;0;0;0
485;0;0;0
486;0;0;0
487;0;0;0
488;0;0;0
489;0;0;0
490;0;0;0
491;0;0;0
492;0;0;0
493;0;0;0
494;0;0;0
495;0;0;0
496;0;0;0
497;0;0;0
498;0;0;0
499;0;0;0
500;0;0;1
501;0;0;2
502;0;0;2
503;0;0;2
504;0;0;2
505;0;0;2
506;0;0;2
507;0;0;2
508;0;0;2
509;0;0;2
510;0;0;2
511;0;0;2
512;0;0;2
513;0;0;2
514;0;0;2
515;0;0;2
516;0;0;2
517;0;0;2
518;0;0;2
519;0;0;2
520;0;0;2
521;0;0;2
522;0;0;2
523;0;0;2
524;0;0;2
525;0;0;2
526;0;0;2
527;0;0;2
528;0;0;2
529;0;0;2
530;0;0;2
531;0;0;2
532;0;0;2
533;0;0;2
534;0;0;2
535;0;0;2
536;0;0;1
537;0;0;1
538;0;0;1
539;0;0;0
540;0;0;0
541;0;0;0
542;0;0;0
543;0;0;0
544;0;0;0
545;0;0;0
546;0;0;0
547;0;0;0
548;0;0;0
549;0;0;0
550;0;0;0
551;0;0;0
552;0;0;0
553;0;0;0
554;0;0;0
555;0;0;0
556;0;0;0
557;0;0;0
558;0;0;0
559;0;0;0
560;0;0;0
561;0;0;0
562;0;0;0
563;0;0;0
564;0;0;0
565;0;0;0
566;0;0;0
567;0;0;0
568;0;0;0
569;0;0;0
570;0;0;0
571;0;0;0
572;0;0;0
573;0;0;0
574;0;0;0
575;0;0;0
576;0;0;0
577;0;0;0
578;0;0;0
579;0;0;0
580;0;0;0
581;0;0;0
582;0;0;0
583;0;0;0
584;0;0;0
585;0;0;0
586;0;0;0
587;0;0;0
588;0;0;0
589;0;0;0
590;0;0;0
591;0;0;0
592;0;0;0
593;0;0;0
594;0;0;0
595;0;0;0
596;0;0;0
597;0;0;0
598;0;0;0
599;0;0;0
600;0;0;0
601;0;0;0
602;0;0;0
603;0;0;0
604;0;0;0
605;0;0;0
606;0;0;0
607;0;0;0
608;0;0;0
609;0;0;0
610;0;0;0
611;0;0;0
612;0;0;0
613;0;0;0
614;0;0;0
615;0;0;0
616;0;0;0
617;0;0;0
618;0;0;0
619;0;0;0
620;0;0;0
621;0;0;0
622;0;0;0
623;0;0;0
624;0;0;0
625;0;0;0
626;0;0;0
627;0;0;0
628;0;0;0
629;0;0;0
630;0;0;0
631;0;0;0
632;0;0;0
633;0;0;0
634;0;0;0
635;0;0;0
636;0;0;0
637;0;0;0
638;0;0;0
639;0;0;0
640;0;0;0
641;0;0;0
642;0;0;0
643;0;0;0
644;0;0;0
645;0;0;0
646;0;0;0
647;0;0;0
648;0;0;2
649;0;0;2
650;0;0;2
651;0;0;2
652;0;0;2
653;0;0;2
654;0;0;2
655;0;0;2
656;0;0;2
657;0;0;2
658;0;0;2
659;0;0;2
660;0;0;2
661;0;0;2
662;0;0;2
663;0;0;2
664;0;0;2
665;0;0;2
666;0;0;2
667;0;0;2
668;0;0;2
669;0;0;2
670;0;0;2
671;0;0;2
672;0;0;2
673;0;0;2
674;0;0;2
675;0;0;2
676;0;0;2
677;0;0;2
678;0;0;2
679;0;0;2
680;0;0;2
681;0;0;2
682;0;0;2
683;0;0;2
684;0;0;2
685;0;0;2
686;0;0;2
687;0;0;2
688;0;0;2
689;0;0;2
690;0;0;2
691;0;0;2
692;0;0;2
693;0;0;2
694;0;0;2
695;0;0;2
696;0;0;2
697;0;0;2
698;0;0;2
699;0;0;2
700;0;0;2
701;0;0;2
702;0;0;2
703;0;0;2
704;0;0;2
705;0;0;2
706;1;0;1
707;1;0;1
708;1;0;1
709;1;0;1
710;1;0;1
711;1;0;1
712;1;0;1
713;2;0;0
714;2;0;0
715;2;0;0
716;2;0;0
717;1;0;1
718;1;0;1
719;0;1;1
720;0;1;1
721;0;1;1
722;0;1;1
723;0;2;0
724;0;2;0
725;0;2;0
726;0;2;0
727;0;2;0
728;0;2;0
729;0;2;0
730;0;2;0
731;0;2;0
732;0;2;0
733;0;2;0
734;0;1;1
735;0;1;1
736;0;1;1
737;0;1;1
738;0;1;1
739;0;1;1
740;0;1;1
741;0;1;0
742;0;1;0
743;0;1;0
744;0;1;0
745;0;1;0
746;0;1;0
747;1;0;0
748;2;0;0
749;2;0;0
750;2;0;0
751;2;0;0
752;2;0;0
753;2;0;0
754;2;0;0
755;2;0;0
756;2;0;0
757;1;1;0
758;1;1;0
759;1;1;0
760;1;1;0
761;1;1;0
762;1;1;0
763;1;1;0
764;1;0;0
765;1;0;0
766;1;0;0
767;1;0;0
768;1;0;0
769;1;0;0
770;1;0;0
771;1;0;0
772;1;0;0
773;1;0;0
774;1;0;0
775;1;0;0
776;1;0;0
777;1;0;0
778;1;0;0
779;1;0;0
780;1;0;0
781;1;0;0
782;1;0;0
783;1;0;0
784;2;0;0
785;2;0;0
786;2;0;0
787;2;0;0
788;2;0;0
789;2;0;0
790;2;0;0
791;2;0;0
792;2;0;0
793;2;0;0
794;2;0;0
795;2;0;0
796;1;1;0
797;1;1;0
798;1;1;0
799;1;1;0
800;0;1;1
801;0;1;1
802;0;1;1
803;0;1;1
804;0;1;1
805;0;1;1
806;0;1;1
807;0;1;1
808;0;1;1
809;0;1;1
810;0;0;2
811;0;0;2
812;0;0;2
813;0;0;2
814;0;1;1
815;0;1;1
816;0;1;1
817;0;1;1
818;0;1;1
819;0;1;1
820;0;1;1
821;0;1;1
822;0;1;1
823;0;1;1
824;0;1;1
825;1;0;1
826;1;0;1
827;1;0;1
828;1;0;1
829;1;0;1
830;1;0;1
831;1;0;1
832;0;0;2
833;0;0;2
834;0;0;2
835;0;0;2
836;0;0;2
837;0;0;2
838;0;0;2
839;0;0;2
840;0;0;2
841;0;0;2
842;0;0;2
843;0;0;2
844;0;0;2
845;0;0;2
846;0;0;2
847;0;0;2
848;0;0;2
849;0;0;2
850;0;0;2
851;0;0;2
852;0;1;1
853;0;1;1
854;0;1;1
855;1;0;1
856;1;0;1
857;2;0;0
858;2;0;0
859;2;0;0
860;2;0;0
861;2;0;0
862;2;0;0
863;2;0;0
864;2;0;0
865;2;0;0
866;2;0;0
867;2;0;0
868;2;0;0
869;2;0;0
870;2;0;0
871;2;0;0
872;2;0;0
873;1;1;0
874;1;1;0
875;1;1;0
876;1;1;0
877;1;1;0
878;1;1;0
879;1;1;0
880;1;1;0
881;1;1;0
882;1;0;0
883;1;0;0
884;1;0;0
885;1;0;0
886;1;0;0
887;1;0;0
888;1;0;0
889;1;0;0
890;0;0;0
891;0;0;0
892;0;0;0
893;0;0;0
894;0;0;0
895;0;0;0
896;0;0;0
897;0;0;0
898;0;0;0
899;0;0;0
900;0;0;0
901;0;0;0
902;0;0;0
903;0;0;0
904;0;0;0
905;0;0;0
906;0;0;0
907;0;0;0
908;0;0;0
909;0;0;0
910;0;0;0
911;0;0;0
912;0;0;0
913;0;0;0
914;0;0;0
915;0;0;0
916;0;0;0
917;0;0;0
918;0;0;0
919;0;0;0
920;0;0;0
921;0;0;0
922;0;0;0
923;0;0;0
924;0;0;0
925;0;0;0
926;0;0;0
927;0;0;0
928;0;0;0
929;0;0;0
930;0;0;0
931;0;0;0
932;0;0;0
933;0;0;0
934;0;0;0
935;0;0;0
936;0;0;0
937;0;0;0
938;0;0;0
939;0;0;0
940;0;0;0
941;0;0;0
942;0;0;0
943;0;0;0
944;0;0;0
945;0;0;0
946;0;0;0
947;0;0;0
948;0;0;0
949;0;0;0
950;0;0;0
951;0;0;0
952;0;0;0
953;0;0;0
954;0;0;0
955;0;0;0
956;0;0;0
957;0;0;0
958;0;0;0
959;0;0;0
960;0;0;0
961;0;0;0
962;0;0;0
963;0;0;0
964;0;0;0
965;0;0;0
966;0;0;0
967;1;0;0
968;1;0;0
969;1;1;0
970;2;0;0
971;2;0;0
972;2;0;0
973;2;0;0
974;2;0;0
975;2;0;0
976;2;0;0
977;2;0;0
978;2;0;0
979;2;0;0
980;2;0;0
981;1;0;1
982;1;0;1
983;1;0;1
984;0;0;2
985;0;0;2
986;0;0;2
987;0;0;2
988;0;0;2
989;0;0;2
990;0;0;2
991;0;0;2
992;0;0;2
993;0;0;2
994;0;0;2
995;0;0;2
996;0;0;2
997;0;0;2
998;0;0;2
999;0;0;2
1000;0;0;2
1001;0;0;2
1002;0;0;2
1003;0;0;2
1004;0;0;2
1005;0;0;1
1006;0;0;1
1007;0;0;1
1008;0;0;1
1009;0;0;0
1010;0;0;0
1011;0;0;0
1012;0;0;0
1013;0;0;0
1014;0;0;0
1015;0;0;0
1016;0;0;0
1017;0;0;0
1018;0;0;0
1019;0;0;0
1020;0;0;0
1021;0;0;0
1022;0;0;0
1023;0;0;0
1024;0;0;0
1025;0;0;0
1026;0;0;0
1027;0;0;0
1028;0;0;0
1029;0;0;0
1030;0;0;0
1031;0;0;0
1032;0;0;0
1033;0;0;0
1034;0;0;0
1035;0;0;0
1036;0;0;0
1037;0;0;0
1038;0;0;0
1039;0;0;0
1040;0;0;0
1041;0;0;0
1042;0;0;0
1043;0;0;0
1044;0;0;0
1045;0;0;0
1046;0;0;0
1047;0;0;0
1048;0;0;0
1049;0;0;0
1050;0;0;0
1051;0;0;0
1052;0;0;0
1053;0;0;0
1054;0;0;0
1055;0;0;0
1056;0;0;0
1057;0;0;1
1058;0;0;2
1059;0;0;2
1060;0;0;2
1061;0;0;2
1062;0;0;2
1063;0;0;2
1064;0;0;2
1065;0;0;2
1066;0;0;2
1067;0;0;2
1068;0;0;2
1069;0;0;2
1070;0;0;2
1071;0;0;2
1072;0;0;2
1073;0;0;2
1074;0;0;2
1075;0;0;2
1076;0;0;2
1077;0;0;2
1078;0;0;2
1079;0;0;2
1080;0;0;2
1081;0;0;2
1082;0;0;2
1083;0;0;2
1084;0;0;2
1085;0;0;2
1086;0;0;2
1087;0;0;2
1088;0;0;2
1089;0;0;2
1090;0;0;2
1091;0;0;2
1092;0;0;2
1093;0;0;2
1094;0;0;2
1095;0;0;2
1096;0;0;2
1097;0;0;2
1098;0;0;2
1099;0;0;2
1100;0;0;2
1101;0;0;2
1102;0;0;2
1103;0;0;2
1104;0;0;2
1105;0;0;2
1106;0;0;2
1107;0;0;2
1108;0;0;2
1109;0;0;2
1110;0;0;2
1111;0;0;2
1112;0;0;2
1113;0;0;2
1114;0;0;2
1115;0;0;2
1116;0;0;2
1117;0;0;2
1118;0;0;2
1119;0;0;2
1120;0;0;2
1121;0;0;2
1122;0;0;2
1123;0;0;2
1124;0;0;2
1125;0;0;2
1126;0;0;2
1127;0;0;2
1128;0;0;2
1129;0;0;2
1130;0;0;2
1131;1;0;1
1132;1;0;1
1133;1;0;1
1134;1;0;1
1135;1;0;1
1136;1;0;1
1137;2;0;0
1138;2;0;0
1139;2;0;0
1140;2;0;0
1141;2;0;0
1142;2;0;0
1143;2;0;0
1144;2;0;0
1145;2;0;0
1146;2;0;0
1147;2;0;0
1148;2;0;0
1149;2;0;0
1150;1;0;1
1151;1;0;1
1152;1;0;1
1153;1;0;1
1154;1;0;1
1155;0;0;2
1156;0;0;2
1157;0;0;2
1158;0;0;2
1159;0;0;2
1160;0;0;2
1161;0;0;2
1162;0;0;2
1163;0;0;2
1164;0;0;2
1165;0;0;2
1166;0;0;2
1167;0;0;2
1168;0;0;2
1169;0;0;2
1170;0;0;2
1171;0;0;2
1172;0;0;2
1173;0;0;2
1174;0;0;2
1175;1;0;1
1176;1;0;1
1177;1;0;1
1178;1;0;1
1179;1;0;1
1180;1;0;1
1181;1;0;1
1182;1;0;1
1183;0;0;2
1184;0;0;2
1185;0;0;2
1186;0;0;2
1187;0;0;2
1188;0;0;2
1189;0;0;2
1190;0;0;2
1191;0;0;2
1192;0;0;2
1193;0;0;2
1194;0;0;2
1195;0;0;2
1196;0;0;2
1197;0;0;2
1198;0;0;2
1199;0;0;2
1200;0;0;2
1201;0;0;2
1202;0;0;2
1203;0;0;2
1204;0;0;2
1205;0;0;2
1206;0;0;1
1207;0;0;1
1208;0;0;1
1209;0;0;1
1210;0;0;1
1211;0;0;1
1212;0;0;1
1213;0;0;0
1214;0;0;0
1215;0;0;0
1216;0;0;0
1217;0;0;0
1218;0;0;0
1219;0;0;0
1220;0;0;0
1221;0;0;0
1222;0;0;0
1223;0;0;0
1224;0;0;0
1225;0;0;0
1226;0;0;0
1227;0;0;0
1228;0;0;0
1229;0;0;0
1230;0;0;0
1231;0;0;0
1232;0;0;0
1233;0;0;0
1234;0;0;0
1235;0;0;0
1236;0;0;0
1237;0;0;0
1238;0;0;0
1239;0;0;0
1240;0;0;0
1241;0;0;0
1242;0;0;0
1243;0;0;0
1244;0;0;0
1245;0;0;0
1246;0;0;0
1247;0;0;0
1248;0;0;0
1249;0;0;0
1250;0;0;0
1251;0;0;0
1252;0;0;0
1253;0;0;0
1254;0;0;0
1255;0;0;0
1256;0;0;0
1257;0;0;0
1258;0;0;0
1259;0;0;0
1260;0;0;0
1261;0;0;0
1262;0;0;0
1263;0;0;0
1264;0;0;0
1265;0;0;0
1266;0;0;0
1267;0;0;0
1268;0;0;0
1269;0;0;0
1270;0;0;0
1271;0;0;0
1272;0;0;0
1273;0;0;0
1274;0;0;0
1275;0;0;0
1276;0;0;0
1277;0;0;0
1278;0;0;0
1279;0;0;0
1280;0;0;0
1281;0;0;0
1282;0;0;0
1283;0;0;0
1284;0;0;0
1285;0;0;0
1286;0;0;0
1287;0;0;0
1288;0;0;0
1289;0;0;0
1290;0;0;0
1291;0;0;0
1292;0;0;0
1293;0;0;0
1294;0;0;0
1295;0;0;0
1296;0;0;0
1297;0;0;0
1298;0;0;0
1299;0;0;0
1300;0;0;0
1301;0;0;0
1302;0;0;0
1303;0;0;0
1304;0;0;0
1305;0;0;0
1306;0;0;0
1307;0;0;0
1308;0;0;0
1309;0;0;0
1310;0;0;0
1311;0;0;0
1312;0;0;0
1313;0;0;0
1314;0;0;0
1315;0;0;0
1316;0;0;0
1317;0;0;0
1318;0;0;0
1319;0;0;0
1320;0;0;0
1321;0;0;0
1322;0;0;0
1323;0;0;0
1324;0;0;0
1325;0;0;0
1326;0;0;0
1327;0;0;0
1328;0;0;0
1329;0;0;0
1330;0;0;0
1331;0;0;0
1332;0;0;0
1333;0;0;0
1334;0;0;0
1335;0;0;0
1336;0;0;0
1337;0;0;0
1338;0;0;0
1339;0;0;1
1340;0;0;1
1341;0;0;1
1342;0;0;1
1343;0;0;1
1344;0;0;1
1345;0;0;1
1346;0;0;2
1347;0;0;2
1348;0;0;2
1349;0;0;2
1350;0;0;2
1351;0;0;2
1352;0;0;2
1353;0;0;2
1354;0;0;2
1355;0;0;2
1356;0;0;2
1357;0;0;2
1358;0;0;2
1359;0;0;2
1360;0;0;2
1361;0;0;2
1362;0;0;2
1363;0;0;2
1364;0;0;2
1365;0;0;2
1366;0;0;2
1367;0;0;2
1368;0;0;2
1369;0;0;2
1370;0;0;2
1371;0;0;2
1372;0;0;2
1373;0;0;2
1374;0;0;2
1375;0;0;2
1376;0;0;2
1377;0;0;2
1378;0;0;2
1379;0;0;2
1380;0;0;2
1381;0;0;2
1382;0;0;2
1383;0;0;2
1384;0;0;2
1385;0;0;2
1386;0;0;2
1387;0;0;2
1388;0;0;2
1389;0;0;2
1390;0;0;2
1391;0;0;2
1392;0;0;2
1393;0;0;2
1394;0;0;2
1395;0;0;2
1396;0;0;2
1397;0;0;2
1398;0;0;2
1399;0;0;1
1400;0;0;1
1401;0;0;1
1402;0;0;1
1403;0;0;1
1404;0;0;1
1405;0;0;1
1406;0;0;1
1407;0;0;0
1408;0;0;0
1409;0;0;0
1410;0;0;0
1411;0;0;0
1412;0;0;0
1413;0;0;0
1414;0;0;0
1415;0;0;0
1416;0;0;0
1417;0;0;0
1418;0;0;0
1419;0;0;0
1420;0;0;0
1421;0;0;0
1422;0;0;0
1423;0;0;0
1424;0;0;0
1425;0;0;0
1426;0;0;0
1427;0;0;0
1428;0;0;0
1429;0;0;0
1430;0;0;1
1431;0;0;2
1432;0;0;2
1433;0;0;2
1434;0;0;2
1435;0;0;2
1436;0;0;2
1437;0;0;2
1438;0;0;2
1439;0;0;2
1440;0;0;2
1441;0;0;2
1442;0;0;2
1443;0;0;2
1444;0;0;2
1445;0;0;2
1446;0;0;2
1447;0;0;2
1448;0;0;2
1449;0;0;2
1450;0;0;2
1451;0;0;2
1452;0;0;2
1453;0;0;2
1454;0;0;2
1455;0;0;2
1456;0;0;2
1457;0;0;2
1458;0;0;2
1459;0;0;2
1460;0;0;2
1461;0;0;2
1462;0;0;2
1463;0;0;2
1464;0;0;2
1465;0;0;2
1466;0;0;2
1467;0;0;2
1468;0;0;2
1469;0;0;2
1470;0;0;2
1471;0;0;2
1472;0;0;2
1473;0;0;2
1474;0;0;2
1475;0;0;2
1476;0;0;2
1477;0;0;2
1478;0;0;2
1479;0;0;2
1480;0;0;2
1481;0;0;2
1482;0;0;2
1483;0;0;2
1484;0;0;2
1485;0;0;2
1486;0;0;2
1487;0;0;2
1488;0;0;2
1489;0;0;2
1490;0;0;2
1491;0;0;2
1492;0;0;2
1493;0;0;2
1494;0;0;2
1495;0;0;2
1496;0;0;2
1497;0;0;2
1498;0;0;2
1499;0;0;2
1500;0;0;2
1501;0;0;2
1502;0;0;2
1503;0;0;2
1504;0;0;1
1505;0;0;0
1506;0;0;0
1507;0;0;0
1508;0;0;0
1509;0;0;0
1510;0;0;0
1511;0;0;0
1512;0;0;0
1513;0;0;0
1514;0;0;0
1515;0;0;0
1516;0;0;0
1517;0;0;0
1518;0;0;0
1519;0;0;0
1520;0;0;0
1521;0;0;0
1522;0;0;0
1523;0;0;0
1524;0;0;0
1525;0;0;0
1526;0;0;0
1527;0;0;0
1528;0;0;0
1529;0;0;0
1530;0;0;0
1531;0;0;0
1532;0;0;0
1533;0;0;0
1534;0;0;0
1535;0;0;0
1536;0;0;0
1537;0;0;0
1538;0;0;0
1539;0;0;0
1540;0;0;0
1541;0;0;0
1542;0;0;0
1543;0;0;0
1544;0;0;0
1545;0;0;0
1546;0;0;0
1547;0;0;0
1548;0;0;0
1549;0;0;0
1550;0;0;0
1551;0;0;0
1552;0;0;0
1553;0;0;0
1554;0;0;0
1555;0;0;0
1556;0;0;0
1557;0;0;0
1558;0;0;0
1559;0;0;0
1560;0;0;0
1561;0;0;0
1562;0;0;0
1563;0;0;0
1564;0;0;0
1565;0;0;0
1566;0;0;0
1567;0;0;0
1568;0;0;0
1569;0;0;0
1570;0;0;0
1571;0;0;0
1572;0;0;0
1573;0;0;0
1574;0;0;0
1575;0;0;0
1576;0;0;0
1577;0;0;0
1578;0;0;0
1579;0;0;0
1580;0;0;0
1581;0;0;0
1582;0;0;0
1583;0;0;0
1584;0;0;0
1585;0;0;0
1586;0;0;0
1587;0;0;0
1588;0;0;0
1589;0;0;0
1590;0;0;0
1591;0;0;0
1592;0;0;0
1593;0;0;0
1594;0;0;0
1595;0;0;0
1596;0;0;0
1597;0;0;0
1598;0;0;0
1599;0;0;0
1600;0;0;0
1601;0;0;0
1602;0;0;0
1603;0;0;0
1604;0;0;0
1605;0;0;0
1606;0;0;0
1607;0;0;0
1608;0;0;0
1609;0;0;0
1610;0;0;0
1611;0;0;0
1612;0;0;0
1613;0;0;0
1614;0;0;0
1615;0;0;0
1616;0;0;0
1617;0;0;0
1618;0;0;0
1619;0;0;0
1620;0;0;0
1621;0;0;0
1622;0;0;0
1623;0;0;0
1624;0;0;0
1625;0;0;0
1626;0;0;0
1627;0;0;0
1628;0;0;0
1629;0;0;0
1630;0;0;0
1631;0;0;0
1632;0;0;0
1633;0;0;0
1634;0;0;0
1635;0;0;0
1636;0;0;0
1637;0;0;0
1638;0;0;0
1639;0;0;0
1640;0;0;0
1641;0;0;0
1642;0;0;0
1643;0;0;0
1644;0;0;0
1645;0;0;0
1646;0;0;0
1647;0;0;0
1648;0;0;0
1649;0;0;0
1650;0;0;0
1651;0;0;0
1652;0;0;0
1653;0;0;0
1654;0;0;0
1655;0;0;0
1656;0;0;0
1657;0;0;0
1658;0;0;0
1659;0;0;0
1660;0;0;0
1661;0;0;0
1662;0;0;0
1663;0;0;0
